instrument_name,option_type,expiry,strike,days_to_expiry,market_price_usd,model_price_usd,price_diff_pct,volatility_spread,classification,mci,edge_score,regime_score,vol_score,liquidity_score,greek_score,bid_ask_spread_pct,delta,gamma,vega,theta,decision_reason
ETH-15MAY26-2250-P,put,15MAY26,2250.0,4.656680523761574,15.83739,28.374527887945646,-0.4418448101570634,-0.1572014023408799,cheap,0.5290200624715912,0.7465427711271642,0.0,0.4244536002753707,0.67440525308642,0.5633286167176296,0.074074074074074,-0.21193,0.00228,0.76791,-3.95846,accepted_dynamic_mci
ETH-22MAY26-2400-P,put,22MAY26,2400.0,11.656565058229168,110.8867725,134.6188397150147,-0.1762908316938029,-0.1495014023408799,cheap,0.5286529581839206,0.5705226008535305,0.0,0.4244536002753707,0.8568737699408451,0.7260052242433704,0.0740740740740741,-0.58455,0.00191,1.63538,-3.42165,accepted_dynamic_mci
ETH-14MAY26-2375-P,put,14MAY26,2375.0,3.65675272369213,58.065479999999994,75.06627368034015,-0.226477122772016,-0.19070140234088,cheap,0.5235678933257292,0.7236670764669015,0.0,0.4244536002753707,0.6148148148148151,0.6553818193170741,0.1010101010101009,-0.59938,0.00369,0.90762,-5.54162,accepted_dynamic_mci
ETH-15MAY26-2400-P,put,15MAY26,2400.0,4.656655773414352,81.53323,97.55757371924189,-0.1642552506006132,-0.1774014023408799,cheap,0.5203642228441655,0.5967512218179066,0.0,0.4244536002753707,0.8681055155875304,0.5606986999648519,0.0719424460431653,-0.65903,0.00301,0.97213,-4.79997,accepted_dynamic_mci
ETH-14MAY26-2300-P,put,14MAY26,2300.0,3.656777930104167,23.4604,38.557504294698674,-0.3915477562891537,-0.1799014023408799,cheap,0.5179498158833974,0.7571558575469172,0.0,0.4244536002753707,0.5210031122983796,0.6561966459683705,0.1,-0.32427,0.00335,0.8444,-5.28094,accepted_dynamic_mci
ETH-29MAY26-2450-P,put,29MAY26,2450.0,18.656476359618058,168.46254249999998,191.5702245559355,-0.1206225138040094,-0.1340014023408799,cheap,0.4939145436047124,0.4334013228750877,0.0,0.4244536002753707,0.885017421602788,0.6792087959044816,0.062717770034843,-0.62444,0.00142,2.01378,-2.71628,accepted_dynamic_mci
ETH-22MAY26-2150-P,put,22MAY26,2150.0,11.656605662546298,18.774880000000003,31.774367887803574,-0.409118693838544,-0.1214014023408799,cheap,0.4926326362245941,0.6226891908802503,0.0,0.4244536002753707,0.5973604444444442,0.6246555178279074,0.1250000000000001,-0.15953,0.00112,1.01849,-2.25366,accepted_dynamic_mci
ETH-22MAY26-2100-P,put,22MAY26,2100.0,11.656613809155091,13.494445,21.552594409098845,-0.3738830349675647,-0.1001014023408799,cheap,0.4906963710781002,0.628733248851265,0.0,0.4081841309730346,0.6377710712560387,0.5621057198227128,0.0869565217391304,-0.11398,0.00086,0.80891,-1.86398,accepted_dynamic_mci
ETH-14MAY26-2275-P,put,14MAY26,2275.0,3.65678586125,16.42235,29.66722032749965,-0.446447971238562,-0.1719014023408799,cheap,0.4738743787759331,0.6927558575469172,0.0,0.4244536002753707,0.4033314059491733,0.552949834417537,0.1428571428571428,-0.24717,0.00289,0.74172,-4.71994,accepted_dynamic_mci
ETH-15MAY26-2200-P,put,15MAY26,2200.0,4.6566889785300924,8.5641045,16.364586109398203,-0.4766684325073383,-0.1320014023408799,cheap,0.470244189279017,0.6277851726154104,0.0,0.4244536002753707,0.5186590280441401,0.5060832186346917,0.136986301369863,-0.1237,0.00153,0.54161,-2.93865,accepted_dynamic_mci
ETH-14MAY26-2225-P,put,14MAY26,2225.0,3.656801550405093,8.093872500000002,16.403937027031134,-0.5065896384104279,-0.1480014023408799,cheap,0.4578583920318142,0.6473203986097192,0.0,0.4244536002753707,0.4098199860222742,0.4966457442096917,0.144927536231884,-0.13432,0.00188,0.50809,-3.39893,accepted_dynamic_mci
ETH-14MAY26-2250-P,put,14MAY26,2250.0,3.6567938363541663,11.8475525,22.32476032115835,-0.4693088602267568,-0.15860140234088,cheap,0.4511577160666706,0.6275617321343763,0.0,0.4244536002753707,0.3592573418744355,0.5548796169683704,0.1782178217821781,-0.18501,0.00237,0.62684,-4.10243,accepted_dynamic_mci
ETH-14MAY26-2400-P,put,14MAY26,2400.0,3.656744435682871,73.3121875,90.55986073696022,-0.1904560485915249,-0.1884014023408799,cheap,0.3795937750101088,0.4081258311149387,0.0,0.4244536002753707,0.25,0.551715971763,0.336,-0.68582,0.00337,0.83324,-5.11467,accepted_dynamic_mci
