instrument_name,spot_shock,iv_shock,days_forward,scenario_price,scenario_value,scenario_pnl
ETH-29MAY26-2300-P,0.05,0.0,3,37.805576632933935,24.25556690639098,-33.226838130506664
ETH-29MAY26-2300-P,0.05,0.0,7,26.36876856863455,16.917859406447544,-40.5645456304501
ETH-29MAY26-2300-P,0.05,0.1,0,63.198474471828376,40.54732032834258,-16.935084708555067
ETH-29MAY26-2300-P,0.05,0.1,1,60.008548411540914,38.50070520240532,-18.981699834492325
ETH-29MAY26-2300-P,0.05,0.1,3,53.3440166456636,34.22482818784383,-23.257576849053812
ETH-29MAY26-2300-P,0.05,0.1,7,38.61734178175027,24.776384881753863,-32.70602015514378
ETH-29MAY26-2300-P,0.05,0.2,0,81.40363628421801,52.22751567807879,-5.254889358818858
ETH-29MAY26-2300-P,0.05,0.2,1,77.55669073697516,49.75936538341813,-7.723039653479518
ETH-29MAY26-2300-P,0.05,0.2,3,69.49971191724956,44.590112425774166,-12.89229261112348
ETH-29MAY26-2300-P,0.05,0.2,7,51.56520437007782,33.08356533704012,-24.398839699857525
ETH-29MAY26-2300-P,0.1,-0.1,0,9.921156359581175,6.3652850531832295,-51.11711998371442
ETH-29MAY26-2300-P,0.1,-0.1,1,8.854184060425439,5.680729485079748,-51.801675551817894
ETH-29MAY26-2300-P,0.1,-0.1,3,6.781838323824218,4.351139378430869,-53.13126565846677
ETH-29MAY26-2300-P,0.1,-0.1,7,3.072390855218373,1.97120606504421,-55.51119897185344
ETH-29MAY26-2300-P,0.1,0.0,0,20.94875419496384,13.440448585535849,-44.0419564513618
