instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct
ETH-22MAY26-2800-C,call,2026-05-22,2800.0,8.049874001041667,2267.11,2267.11,0.23505255589715524,0.23505255589715524,0.9068440000000001,0.680133,1.360266,1.133555,0.9068440000000001,62.6,0.626,0.01325,0.00016,0.11465,-0.44579,673.0,1.0,0.6666666666666667
ETH-22MAY26-2800-P,put,2026-05-22,2800.0,8.049874001041667,2267.11,2267.11,0.23505255589715524,0.23505255589715524,532.544139,502.164865,651.794125,,532.544139,62.6,0.626,-0.98675,0.00016,0.11465,-0.44579,0.0,0.0,0.25933202357563845
ETH-22MAY26-3000-C,call,2026-05-22,3000.0,8.049874001041667,2267.11,2267.11,0.3232705956040951,0.3232705956040951,0.45342200000000005,0.22671100000000002,0.9068440000000001,0.45342200000000005,0.45342200000000005,73.4,0.7340000000000001,0.00603,7e-05,0.05754,-0.26235,210.0,30.0,1.2000000000000002
ETH-22MAY26-3000-P,put,2026-05-22,3000.0,8.049874001041667,2267.11,2267.11,0.3232705956040951,0.3232705956040951,731.8231079999999,614.3868100000001,859.23469,,731.8231079999999,73.4,0.7340000000000001,-0.99397,7e-05,0.05754,-0.26235,0.0,0.0,0.33230769230769214
ETH-29MAY26-2250-C,call,2026-05-29,2250.0,15.049874001041667,2267.11,2267.11,-0.00754705329692873,0.00754705329692873,99.07270700000001,97.48573,99.75284,96.35217500000002,99.07270700000001,48.86,0.4886,0.55306,0.00176,1.82163,-2.957,15343.0,870.0,0.02298850574712646
ETH-29MAY26-2250-P,put,2026-05-29,2250.0,15.049874001041667,2267.11,2267.11,-0.00754705329692873,0.00754705329692873,80.255694,78.21529500000001,80.482405,87.28373500000001,80.255694,48.86,0.4886,-0.44694,0.00176,1.82163,-2.957,21155.0,7154.0,0.02857142857142842
ETH-29MAY26-2300-C,call,2026-05-29,2300.0,15.049874001041667,2267.11,2267.11,0.014507456629806237,0.014507456629806237,74.81463000000001,73.681075,75.94818500000001,66.879745,74.81463000000001,48.47,0.48469999999999996,0.46429,0.00178,1.83054,-2.94787,10144.0,930.0,0.03030303030303033
ETH-29MAY26-2300-P,put,2026-05-29,2300.0,15.049874001041667,2267.11,2267.11,0.014507456629806237,0.014507456629806237,106.10074800000001,104.28706000000001,106.55417,104.28706000000001,106.10074800000001,48.47,0.48469999999999996,-0.53571,0.00178,1.83054,-2.94787,18392.0,756.0,0.02150537634408591
ETH-29MAY26-2200-C,call,2026-05-29,2200.0,15.049874001041667,2267.11,2267.11,-0.029601563223663696,0.029601563223663696,127.865004,125.824605,129.22527000000002,148.722416,127.865004,49.38,0.4938,0.63951,0.00165,1.72434,-2.82876,11649.0,0.0,0.0266666666666668
ETH-29MAY26-2200-P,put,2026-05-29,2200.0,15.049874001041667,2267.11,2267.11,-0.029601563223663696,0.029601563223663696,59.17157100000001,57.811305,60.078415,63.47908,59.17157100000001,49.38,0.4938,-0.36044,0.00165,1.72429,-2.82866,13493.0,267.0,0.038461538461538505
